molecula|molecula|Veber filter|Approximated area|MATS8d|GeomDiameter|SIC2|GeomShapeIndex|PPSA1|SRW09|E solv. Water  (Hartree)|MATS2c|PBF|JGI4|SaaaC|FNSA4|AATSC1are|Log Po/w WLOGP|GRAVp|pIC50
12ah_a36|12ah_a36|0.0|532.36|-0.0861053359999999|15.54445187|0.8910146309999999|0.8802726820000001|149.3235124|7.412764017000001|0.03300341|-0.050415481|0.271553945|0.043848238|0.0|-0.038137281|0.0005016269999999|2.54|2786.56479|7.9586
3n_a32|3n_a32|0.0|464.67|-0.121627423|11.72372261|0.868826775|0.840580248|201.8383309|7.773594467000001|0.02901944|-0.0376583329999999|0.287402381|0.035643275|2.22272854|-0.027401986|0.000609539|5.01|2526.071154|7.6778
16f_a32|16f_a32|1.0|603.12|-0.000510986|14.28728752|0.899839182|0.625108901|211.2572338|7.765993078999999|0.02889673|0.1767304639999999|0.522247991|0.039958333|2.082564316|-0.035568666|-0.003511776|4.99|2772.212354|8.041
19_a47|19_a47|0.0|412.31|0.095841135|13.17443625|0.8873627890000001|0.8635094740000001|200.6571609|6.842683282|0.03178118|-0.038804671|0.270767873|0.032764858|1.174354482|-0.037307124|-0.013020816|3.84|2612.978054|7.3
14h_a23|14h_a23|0.0|569.53|-0.05745554|15.0735214|0.860920386|0.924279155|166.45047749999998|7.423568444|0.02796857|0.043538466|0.223157991|0.04255787|0.7290938920000001|-0.033774476|0.009895793|3.89|3010.418229|8.3468
7_a1|7_a1|0.0|365.53|-0.042175602|9.278054953|0.862051935|0.827584457|191.0896839|7.860570786|0.02860499|-0.055291895|0.289201649|0.035718954|0.0|-0.031040669|0.0021597079999999|3.29|2150.215999|6.3372
12z_a30|12z_a30|0.0|580.6|-0.077335468|15.74641625|0.855880335|0.950863559|256.7627363|7.412764017000001|0.02895763|-0.1155022219999999|0.315493739|0.040566449|0.0|-0.034034824|0.003529389|2.63|3112.622632|7.3615
12u_a36|12u_a36|0.0|590.18|-0.018047007|14.90088936|0.855176759|0.946117173|153.5444314|7.412764017000001|0.03260752|-0.054501792|0.3765068079999999|0.042560386|0.0|-0.03452119|0.0042553209999999|3.01|2831.106839|7.7959
12i_a36|12i_a36|0.0|504.47|-0.01509434|13.98728916|0.87043328|0.8526986440000001|148.7565508|7.412764017000001|0.03165678|0.043792895|0.332782117|0.0438779959999999|0.0|-0.045665229|-0.011700732|4.04|3231.030388|7.9208
12j_a30|12j_a30|0.0|549.64|-0.130412856|15.41574553|0.846470093|0.91079856|120.550211|7.412764017000001|0.03201935|0.04148877|0.328405591|0.043848238|0.0|-0.036204884|0.005613018|2.93|2784.7999170000003|8.058
11a_a31|11a_a31|0.0|407.76|-0.030335912|10.5643234|0.910334509|0.8241360790000001|133.6139513|7.773594467000001|0.04099365|-0.045290366|0.271818874|0.044949495|0.0|-0.056833284|-0.022093578|2.94|2288.9694010000003|6.7212
12f_a31|12f_a31|0.0|665.22|-0.029803241|19.05849748|0.8530975000000001|0.932987917|218.4455813|7.765993078999999|0.04363832|0.034876922|0.262896936|0.03703252|0.0|-0.0337826789999999|-0.00150321|4.48|2710.311963|6.8861
3a_a49|3a_a49|0.0|449.68|0.008391259|12.49907878|0.8704151529999999|0.903506738|181.6875706|7.535296702|0.03833529|-0.05210989|0.526915193|0.0355787039999999|1.819785|-0.030698626|-0.000349523|2.81|2599.121578|7.1938
9r_a24|9r_a24|0.0|616.11|-0.083458647|18.36822555|0.841805128|0.898988412|257.9706516|6.605297921|0.03426339|-0.134192489|0.32720212|0.024179894|0.0|-0.025821921|0.007861194|3.93|2644.462265|7.9586
47d_a18|47d_a18|1.0|817.06|0.027971797|19.16475647|0.773981237|0.927940864|246.1558296|7.03438793|0.02826074|-0.017398129|0.445704576|0.032916667|0.0|-0.028722356|0.003376831|3.21|3304.705347|8.0969
5b_a50|5b_a50|0.0|411.9|-0.1866330389999999|10.01036188|0.855527513|0.8058479690000001|208.925351|7.927685046000001|0.02651535|-0.253064589|0.271653991|0.034845679|2.473508677|-0.02140774|0.012641727|4.02|2183.545404|4.9126
12p_a30|12p_a30|0.0|526.91|-0.2210072669999999|13.94763694|0.8371763179999999|0.886732486|115.116829|7.412764017000001|0.03198743|0.038440292|0.371591982|0.040899471|0.0|-0.0364888379999999|0.005613018|2.93|2783.628159|7.7721
15a_a50|15a_a50|0.0|519.38|-0.207610131|14.65582885|0.8749408470000001|0.8103580690000001|176.277812|7.934155233999999|0.03314629|-0.113976703|0.4349386739999999|0.035694444|2.020652006|-0.029316925|0.005366038|3.57|2503.770258|7.3872
2_a49|2_a49|0.0|371.96|0.00991453|10.38394173|0.851413454|0.8320497920000001|145.02405359999997|7.535296702|0.0366366999999999|-0.084499704|0.41397907|0.038726287|1.999073077|-0.028277173|0.004524556|3.7|2244.518609|7.2291
5a_a40|5a_a40|0.0|353.51|-0.0395444479999999|10.7779923|0.820901326|0.956899016|78.57142892|8.149890544|0.01514427|-0.116583806|0.04987082|0.0388888889999999|0.808197279|-0.036396585|0.011345707|3.08|1847.672595|7.0915
12y_a36|12y_a36|0.0|532.91|-0.0498101409999999|14.80236899|0.873588247|0.950403792|164.2102614|7.412764017000001|0.03583863|-0.061103469|0.424572485|0.041767677|0.0|-0.036493654|0.002782748|2.42|2793.629988|7.9208
21a_a23|21a_a23|0.0|558.61|-0.137122549|15.66066298|0.79188323|0.969673962|104.2264415|7.525639975|0.0203361|0.1049806919999999|0.224766417|0.042862319|0.773970837|-0.03458322|0.01269616|4.33|2880.257677|6.9914
5_a4|5_a4|0.0|421.24|-0.229773463|9.823391314|0.820886786|0.7058248159999999|103.5177395|7.535296702|0.02251645|-0.196773454|0.431132276|0.035994832|2.189593648|-0.025201292|0.011630756|4.67|2282.291204|7.1487
2_a27|2_a27|0.0|420.7|0.027777778|9.527176544|0.8585302370000001|0.7934621359999999|166.89932209999998|6.605297921|0.02268519|0.09890645|0.408120957|0.0427777779999999|1.267636369|-0.029261411|0.009338889|2.49|2210.487938|7.8861
12m_a36|12m_a36|0.0|505.51|-0.064035403|13.67704354|0.8792981679999999|0.8702895190000001|169.596372|7.412764017000001|0.03861003|0.013543656|0.4493096629999999|0.03912037|0.0|-0.04260035|-0.006653538|0.98|2925.315028|7.5229
19d_a38|19d_a38|0.0|517.77|-0.039361255|13.52121974|0.908591797|0.916264002|161.0407189|7.412764017000001|0.04735828|0.013465335|0.3509455999999999|0.04572104|0.0|-0.04393982|-0.011156837|1.65|3055.168373|7.9586
12ar_a36|12ar_a36|0.0|580.53|-0.064014394|16.68371115|0.89459881|0.902250063|199.7830951|7.412764017000001|0.04327285|-0.064363806|0.317338373|0.040839506|0.0|-0.0347392029999999|0.000939229|1.95|2902.67985|7.6021
1b_a5|1b_a5|0.0|388.58|-0.054153474|11.64312636|0.827319059|0.90275317|134.6705884|6.605297921|0.03246637|-0.250420203|0.341795323|0.0248765429999999|0.0|-0.031306145|0.003886035|4.76|2171.716467|7.2291
12bg_a36|12bg_a36|0.0|554.7|-0.033696875|14.04434294|0.892249657|0.860310096|172.9566471|7.412764017000001|0.03334656|-0.040957653|0.543472602|0.044197531|0.0|-0.036959207|-0.001012333|3.19|2925.402039|7.8239
14ab_a23|14ab_a23|0.0|595.23|-0.05990912|14.76864227|0.8072028240000001|0.885272615|138.4567483|7.423568444|0.02013145|0.065530542|0.20155691|0.04314059|0.7586471459999999|-0.031648261|0.013012022|4.63|2941.47118|8.4012
12aw_a36|12aw_a36|0.0|507.71|-0.056676035|14.32425315|0.892249657|0.898338973|160.8550748|7.412764017000001|0.03134789|-0.135690414|0.373775982|0.043383838|0.0|-0.041292362|-0.006877664|3.0|2901.451841|8.0458
8d_a32|8d_a32|1.0|540.98|-0.11492754|15.29958432|0.875986707|0.887243042|183.1522214|7.765993078999999|0.04065536|0.143684876|0.261692269|0.0388738739999999|2.146260246|-0.03346862|-0.006974711|4.32|2556.198518|8.0809
12bi_a36|12bi_a36|0.0|603.92|0.071329141|15.71382803|0.858971809|0.85865094|349.3664649|7.412764017000001|0.0318395999999999|-0.088734077|0.382000949|0.043854875|0.0|-0.027831043|0.000482522|1.9|3044.149713|7.8539
6_a3|6_a3|0.0|366.93|0.055002252|8.982311462|0.8632654590000001|0.633675574|98.39146166|6.823286122000001|0.03079258|0.155665791|0.556539611|0.038650794|2.000787282|-0.037726468|-0.007540435|4.66|2196.107822|5.7501
25_a12|25_a12|0.0|442.64|-0.208172827|9.70173342|0.688743998|0.814415245|43.08908189|0.0|0.024123749|0.00700113|0.120087607|0.038787879|2.050456822|-0.03323193|0.000864238|5.35|2067.69985|7.6576
14k_a23|14k_a23|0.0|552.65|-0.091426449|15.99703938|0.864845456|0.948005074|144.0318708|7.423568444|0.02271117|0.070940371|0.226547411|0.046283951|0.74561778|-0.033999976|0.010682694|4.67|2955.4566170000003|8.4123
7_a3|7_a3|0.0|362.61|0.0507482109999999|8.644978051|0.8632654590000001|0.663120542|99.36002106|6.823286122000001|0.03103579|0.198126776|0.5999725029999999|0.03757716|1.989724777|-0.036877402|-0.007540435|4.66|2196.07224|5.9901
47s_a18|47s_a18|0.0|736.36|-0.0540701129999999|18.65422248|0.745196689|0.901192009|135.90542109999998|7.03438793|0.02195039|0.026229332|0.306379663|0.035632184|0.0|-0.030108416|0.002573931|3.93|2992.734821|6.2104
9g_a40|9g_a40|0.0|469.6|-0.242405063|15.62271835|0.821935848|0.909806709|136.8503571|7.515889085|0.01134289|-0.058811055|0.002717414|0.043730159|0.895670535|-0.031197254|0.011921308|2.93|2169.234651|5.45
18c_a30|18c_a30|0.0|543.46|-0.058608635|13.8741593|0.885516463|0.81455244|144.5043388|7.412764017000001|0.04503016|0.12157783|0.42531141|0.042560386|0.0|-0.042101245|-0.003436924|1.72|3002.59061|7.9208
6c_a31|6c_a31|0.0|524.56|-0.172780048|14.63492011|0.846458013|0.8061548709999999|148.5675636|7.78113851|0.03620884|0.047405064|0.138124296|0.038901235|0.0|-0.044739967|-0.009477764|4.26|2837.949799|6.4685
34_a20|34_a20|0.0|544.93|-0.090732503|14.7802149|0.80310139|0.8614536140000001|150.43359099999998|6.842683282|0.03558836|0.0305860929999999|0.408491116|0.0396875|1.991704333|-0.032248904|0.003085806|4.62|2825.042137|7.2147
12_a3|12_a3|0.0|361.95|-0.125395523|10.50748861|0.784451598|0.864908294|80.50854774|6.823286122000001|0.02620998|0.167987916|0.101891875|0.042795699|2.07135708|-0.039584548|-0.006049098|4.01|2056.502939|5.45
19a_a38|19a_a38|0.0|466.55|-0.133130383|12.96056449|0.8741648479999999|0.872060139|152.5362948|7.412764017000001|0.03338983|-0.084389038|0.298938581|0.043848238|0.0|-0.038988111|-0.002526241|2.55|2774.129458|8.0106
8h_a8|8h_a8|0.0|480.09|0.010682683|13.58738632|0.751162751|0.822939833|48.02637252|7.05012252|0.03330037|0.038482973|0.273425421|0.046205674|0.0|-0.048805507|-0.007796225|4.72|2623.688756|4.9359
30_a47|30_a47|0.0|478.04|0.074217097|12.94704346|0.913855507|0.879999675|192.3403721|6.842683282|0.0420327|-0.069449687|0.384732322|0.038387534|1.192095911|-0.0383202979999999|-0.0098410169999999|3.93|2626.927627|7.9
47j_a18|47j_a18|1.0|776.31|0.005740124|18.50538303|0.77844379|0.928170101|183.246715|7.03438793|0.03246539|0.070097424|0.476575952|0.033563218|0.0|-0.033837212|0.00031105|2.82|3172.831382|7.4559
9_a27|9_a27|0.0|425.08|-0.071974951|9.442988795|0.8806964490000001|0.873886547|108.6440173|6.842683282|0.02461151|0.164227115|0.36853691|0.042847222|1.233610009|-0.033677898|0.00611794|3.04|2256.4955670000004|8.699
15_a47|15_a47|0.0|419.75|0.081171071|13.37174753|0.897881853|0.914412511|154.260803|6.605297921|0.03425526|-0.164258919|0.429825305|0.042285714|1.56205245|-0.033307714|-0.0026314909999999|5.28|2327.320914|7.8
1f_a5|1f_a5|0.0|442.04|-0.000969932|13.35549635|0.834250802|0.8764524309999999|135.2439659|6.605297921|0.03370206|-0.139907335|0.45528118|0.029105691|0.0|-0.035639589|-0.0012491689999999|6.37|2482.949545|6.6198
