molecula|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|BCUTs-1l|E solv. Water  (Hartree)|MATS2c|SIC2|RASA|PBF|FNSA4|FNSA2|GRAVp|WNSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|pIC50
25_a47|-1735.2218059999998|0.0702|1.30432753|0.0285712999999999|0.037667531|0.906449648|0.786958319|0.574771479|-0.031278972|-1.407553754|2704.5905190000003|-518.7525876|513.2159236|0.0|0.0|3.29|3.08|2.0|-4.99|5.0|-6.3|410.83|0.0|1.01e-05|3.53|4.02e-06|-0.06331|7.8
5_a4|-1069.051141|67.0|1.343864516|0.02251645|-0.196773454|0.820886786|0.943148502|0.431132276|-0.025201292|-1.159259431|2282.291204|-334.71819839999995|518.5792364|1.0|1.0|4.89|2.88|1.0|-4.57|3.0|-5.57|340.42|1.0|2.72e-05|3.95|3.71e-06|-0.04892|7.1487
40_a47|-1122.9968210000002|0.2612|1.420389717|0.02983032|-0.246203395|0.900790582|0.812233678|0.237173658|-0.027052191|-1.082087641|2313.85811|-314.91225539999994|388.178924|0.0|1.0|2.96|1.52|0.0|-3.26|5.0|-6.78|334.35|1.0|0.000546|2.19|2.79e-05|-0.05086|8.4
3n_a32|-1825.163542|0.2839|0.609420754|0.02901944|-0.0376583329999999|0.868826775|0.840041782|0.287402381|-0.027401986|-1.205687365|2526.071154|-398.5311469|522.1674161999999|1.0|1.0|6.71|1.58|2.0|-5.96|4.0|-5.98|382.5|0.0|1.11e-06|3.74|4.19e-05|-0.05535|7.6778
25_a12|-974.458128|0.1897|1.404967476|0.024123749|0.00700113|0.688743998|0.947937175|0.120087607|-0.03323193|-1.362509125|2067.69985|-369.8695347|430.4348528|1.0|1.0|4.7|3.2|1.0|-5.28|2.0|-4.82|311.38|1.0|5.19e-06|4.76|5.12e-07|-0.05352|7.6576
3c_a49|-1198.430306|0.0729|1.343850149|0.03394942|0.034009672|0.8605470759999999|0.7963363840000001|0.501887054|-0.0252377479999999|-1.186174159|2521.794855|-387.9176903|542.7276591|0.0|1.0|3.63|1.84|1.0|-3.45|4.0|-6.93|369.42|1.0|0.0003509999999999|2.29|1.07e-05|-0.0606|7.0605
17_a47|-1254.737546|0.4308|1.4168589319999998|0.04130125|-0.181485377|0.814790949|0.852282407|0.522140199|-0.02987808|-1.493904005|2672.497352|-555.8544359|630.8611986000001|1.0|1.0|5.12|2.26|2.0|-5.4|4.0|-5.83|392.46|0.0|3.98e-06|4.03|3.12e-08|-0.04873|8.3
16b_a32|-2315.757928|0.2849|0.2980105389999999|0.03900066|0.0873104119999999|0.907055332|0.7465375040000001|0.559199331|-0.0345657579999999|-1.624590613|3037.795494|-667.0049190000001|597.8890744|1.0|1.0|5.4|0.41|1.0|-6.28|6.0|-6.72|433.57|0.0|5.19e-07|3.14|1.1e-05|-0.05946|7.7696
41_a47|-1162.288187|0.2504|1.420292383|0.02982752|-0.225923786|0.900915114|0.823168463|0.245948366|-0.02929561|-1.259711209|2374.594252|-401.77742|439.9906467|1.0|1.0|3.34|1.75|0.0|-3.57|5.0|-6.66|348.38|1.0|0.000267|2.49|1.17e-05|-0.05053|8.0
12bg_a36|-2151.914954|0.4409|1.29692796|0.03334656|-0.040957653|0.892249657|0.840610352|0.543472602|-0.036959207|-1.847960372|2925.402039|-869.5815023|661.6709012|1.0|1.0|3.99|2.99|2.0|-5.08|4.0|-6.26|450.32|1.0|8.27e-06|3.93|7.83e-06|-0.0542299999999999|7.8239
25d_a34|-1426.243341|0.2106|1.433689841|0.02807001|0.128783829|0.799694715|0.674282353|0.631894475|-0.044492794|-2.358118108|2939.671168|-1031.631874|673.8038326000001|1.0|1.0|3.05|2.26|1.0|-4.61|5.0|-6.74|427.46|0.0|2.44e-05|3.05|3.53e-06|-0.03521|6.0223
4l_a46|-1092.484863|0.1523|1.134637095|0.03506136|-0.058870177|0.762625193|0.892158627|0.291762764|-0.030068681|-1.533502748|2165.620022|-490.7614689|579.2365607|1.0|1.0|4.64|3.06|1.0|-5.28|3.0|-5.23|347.45|1.0|5.25e-06|4.49|3.47e-05|-0.01784|7.0088
19j_a38|-1424.183388|0.2625|1.29704352|0.03678378|-0.089207643|0.908721232|0.8071763829999999|0.625966089|-0.038119963|-1.944118135|2969.234865|-910.8612362|640.025745|1.0|1.0|3.17|1.76|1.0|-4.35|5.0|-7.13|426.45|0.0|4.46e-05|2.5|5.14e-05|-0.06447|8.1146
18d_a25|-1806.514606|0.0389|1.193723212|0.03560672|-0.0881447869999999|0.838260077|0.937813705|0.278576218|-0.0281209329999999|-1.602893201|3113.122552|-908.1047824|883.4030667999999|1.0|1.0|6.33|2.4|2.0|-6.26|4.0|-6.21|474.58|0.0|5.47e-07|4.21|2.81e-08|-0.07287|6.6345
4j_a46|-1131.761156|0.1418|1.134637093|0.02491327|-0.175292207|0.763724435|0.949893337|0.295221643|-0.024805825|-1.339514565|2260.870095|-467.2617475|642.1335502000001|0.0|1.0|5.18|3.28|2.0|-5.38|3.0|-5.09|361.48|1.0|4.16e-06|4.81|7.33e-06|-0.01684|6.0942
12q_a36|-1692.3116350000005|0.3419|1.29701394|0.03415678|-0.0543475329999999|0.8839272779999999|0.82911927|0.324924033|-0.038175515|-1.908775752|2786.514757|-797.7508892000001|629.5017194000001|1.0|1.0|3.35|2.51|1.0|-4.44|4.0|-6.49|415.88|1.0|3.64e-05|3.31|2.77e-05|-0.05602|8.2218
3b_a32|-1594.0008779999998|0.2905|0.609420808|0.02589511|0.046791596|0.866250192|0.8407393809999999|0.2719741|-0.033451833|-1.103910485|2092.213643|-265.6468664|323.0421997|1.0|1.0|6.25|1.45|1.0|-5.73|3.0|-5.57|312.41|0.0|1.86e-06|3.71|9.97e-05|-0.05396|8.2366
4e_a46|-1884.255802|0.3109|0.300205548|0.04805633|0.1369980459999999|0.8146060740000001|0.753715041|0.68427144|-0.030951758|-1.949960781|3411.457836|-1122.980957|942.2127953|1.0|1.0|3.05|2.06|2.0|-6.08|6.0|-6.6|488.6|0.0|8.29e-07|3.78|7.64e-07|-0.03893|6.8125
12y_a30|-1654.125015|0.1489|0.604984019|0.0311422|0.048343649|0.8146529229999999|0.8489185109999999|0.374181804|-0.034840345|-1.91621895|2847.362782|-863.552275|754.3941655|1.0|1.0|4.87|3.25|2.0|-6.04|4.0|-5.64|426.54|0.0|9.14e-07|4.6|1.76e-05|-0.05065|7.6576
7h_a8|-1285.017252|0.3885|1.391840221|0.03092828|-0.118981425|0.7677336090000001|0.771011027|0.314190914|-0.041038456|-1.6825766830000002|2534.324886|-559.0612661|446.5544107|1.0|0.0|5.52|4.27|2.0|-5.68|4.0|-5.27|373.35|0.0|2.09e-06|4.66|1.31e-06|-0.06799|4.9788
17_a12|-1366.638303|148.0|0.610029543|0.02800938|0.132275232|0.87653892|0.858119365|0.318309599|-0.035198739|-1.443148294|2246.161353|-391.8666299|431.5987143|1.0|0.0|4.51|2.47|0.0|-4.51|4.0|-6.07|333.41|1.0|3.1e-05|3.19|2.32e-05|-0.06322|7.7959
7s_a46|-974.615216|0.1186|1.160371307|0.036050328|-0.0778653109999999|0.8182543959999999|0.858788462|0.249893305|-0.031623562|-1.3281895890000002|1982.695462|-335.5119279|409.9543818|0.0|1.0|3.65|2.39|0.0|-4.07|3.0|-5.81|305.37|1.0|8.590000000000001e-05|3.32|0.000256|-0.02024|5.7022
11d_a5|-1238.855022|0.2068|1.388848584|0.03371838|-0.245058546|0.831190148|0.87090286|0.359644732|-0.029333375|-1.525335513|2540.78984|-615.8065323|631.9206508|1.0|1.0|4.41|1.42|1.0|-4.14|5.0|-6.47|385.46|1.0|7.2e-05|3.07|8.909999999999999e-07|-0.03767|7.8239
12g_a31|-1578.605452|265.0|0.6101363000000001|0.04532186|0.0716209459999999|0.8639814490000001|0.58271093|0.325789284|-0.039059048|-1.835775276|2514.363249|-692.3565973|524.0230338|1.0|1.0|5.19|0.86|1.0|-4.92|5.0|-6.86|384.45|0.0|1.19e-05|2.52|0.000136|-0.03324|6.9586
8d_a8|-1447.2928029999998|0.1879|1.395657339|0.03604461|-0.12349902|0.804372443|0.6932924890000001|0.377028311|-0.03820405|-2.063018716|2863.968296|-877.3916055999999|682.0472537|0.0|1.0|3.93|1.92|1.0|-4.91|5.0|-6.87|430.46|0.0|1.24e-05|2.89|1.03e-05|-0.0600299999999999|4.7303
11g_a5|-1329.927772|0.2403|1.388236041|0.04557484|-0.204002571|0.8737292720000001|0.837943738|0.396049407|-0.025442296|-1.297557078|2823.738452|-560.3852433999999|648.1198739|1.0|1.0|4.17|1.06|1.0|-4.12|5.0|-6.84|408.46|0.0|7.65e-05|2.75|3.770000000000001e-07|-0.04322|7.5229
12bb_a36|-1431.178978|0.0736|1.29704416|0.03421884|-0.07834963|0.892249657|0.6888482109999999|0.314702945|-0.038872447|-1.943622342|2902.055617|-800.967538|593.6088758|1.0|1.0|3.55|2.78|1.0|-3.99|6.0|-6.8|417.41|1.0|0.000102|2.88|3.17e-05|-0.0566799999999999|8.0
3b_a49|-1293.048179|0.0759|1.343850026|0.0368692|-0.003115526|0.845992028|0.749104358|0.482434361|-0.0276739079999999|-1.439043207|2660.339607|-538.4506046|641.1445234|1.0|1.0|3.16|1.25|1.0|-3.53|5.0|-7.42|398.46|0.0|0.000293|1.84|1.05e-05|-0.06115|7.6021
12ao_a36|-1310.077853|0.0033|1.297043885|0.03244719|-0.058597382|0.8800240009999999|0.832582759|0.264688501|-0.03775988|-2.039033535|2794.663089|-892.6355932|698.847203|1.0|1.0|3.62|2.38|1.0|-4.58|4.0|-6.34|407.47|1.0|2.6e-05|3.45|3.94e-05|-0.05455|7.5229
10_a27|-1082.956472|0.4452|1.400533489|0.0227416|0.122016352|0.862408925|0.8526621529999999|0.346344305|-0.031079371|-1.305333567|2270.538352|-369.1201792|424.8821143|1.0|0.0|2.81|2.25|0.0|-3.57|4.0|-6.51|331.37|1.0|0.000266|2.55|0.000192|-0.0498|7.1612
12n_a30|-1674.777231|0.1489|0.604984682|0.0334036|0.0304762079999999|0.870930234|0.7781502140000001|0.390449649|-0.038674741|-1.895062322|2848.910641|-755.6383024|618.6004214|1.0|1.0|4.25|3.2|2.0|-5.39|5.0|-6.02|416.47|0.0|4.12e-06|3.97|5.260000000000001e-05|-0.05076|7983.0
13a_a6|-1349.834826|0.2697|1.430639975|0.02818646|-0.042110772|0.8299950709999999|0.77450544|0.22670695|-0.040840697|-2.042034827|2820.31296|-873.2309916000002|627.4287311|1.0|1.0|4.98|1.29|2.0|-5.51|5.0|-6.1|409.44|0.0|3.11e-06|3.8|4e-07|-0.05018|7.3372
