molecula|PNSA2|Wavelength (HOMO-LUMO transition) (nm)|Veber filter|Class [Log S (SILICOS-IT)]|Contribuition (max. transition)|Log S (Ali)|heavy_atom_count|GeomRadius|WNSA2|FNSA5|Gibbs Free Energy|AATSC1c|CYP2D6 inhibitor|MATS7i|P-gp substrate|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest_Unoccupied_Molecular_Orbital_Energy|AATSC1pe|pIC50
12ag_a36|-1227.884327|334.04|0.0|1.0|0.69204|-3.89|30.0|7.849377942|-774.4286762999999|-0.1081585809999999|-1332.003616|-0.008085448|0.0|0.063109409|1.0|5.58e-05|-0.05486|-0.000673716|7.7696
13b_a6|-1332.835801|341.35|0.0|1.0|0.58026|-5.51|31.0|9.087172635|-874.0294667999999|-0.112915801|-1349.898848|-0.011206134|1.0|0.060593678|1.0|4e-07|-0.0525799999999999|-0.00194781|6.7595
4_a4|-566.6429946000001|307.95|0.0|1.0|0.55032|-4.12|25.0|5.326452915|-291.9486922|-0.06873731|-1029.813844|-0.001234337|1.0|-0.0214610589999999|1.0|8.85e-06|-0.04865|0.0112367389999999|7.1079
6_a1|-448.9214297|305.12|0.0|1.0|0.69818|-3.12|22.0|5.555887839|-216.916644|-0.077422386|-935.378591|-0.005477033|1.0|-0.114683042|1.0|0.000277|-0.02214|0.006851583|5.2924
46_a18|-1412.796104|384.45|0.0|1.0|0.69181|-5.68|36.0|8.980343774|-1003.700904|-0.076485888|-1532.562476|-0.005378956|1.0|-0.046124025|1.0|7.27e-07|-0.04995|0.003512954|6.7305
12c_a30|-1196.830808|351.37|0.0|1.0|0.32037|-5.93|30.0|7.652098812999999|-781.3839879|-0.096482247|-2035.202565|-0.006900253|0.0|-0.0983590219999999|1.0|2.61e-05|-0.0542299999999999|0.003603419|7.9914
4a_a46|-528.6479264|272.77|0.0|1.0|0.6893600000000001|-3.93|24.0|5.613813876|-274.5414028|-0.067863141|-994.079365|-0.001042349|1.0|-0.137420119|1.0|4.86e-05|-0.02921|0.0120924389999999|6.7423
6d_a40|-1377.2170210000002|419.45|1.0|2.0|0.6624800000000001|-7.21|30.0|6.908972922999999|-881.3190339|-0.119563634|-2470.684323|-0.015362927|0.0|-0.104206961|0.0|0.0226|-0.09462|-0.00448098|8.9208
14a_a5|-1010.949351|298.75|0.0|1.0|0.65789|-4.15|32.0|8.424031251|-683.6488737000001|-0.078681402|-1390.352729|-0.0053665219999999|1.0|-0.132625457|1.0|6.16e-07|-0.0507699999999999|0.003668464|6.9508
19i_a38|-1249.2965869999998|343.17|0.0|1.0|0.4342|-4.25|31.0|6.690507557999999|-765.6305068|-0.113250303|-1431.239177|-0.008447598|1.0|0.08414367|1.0|3.19e-05|-0.0564799999999999|-0.004358975|7.9031
15c_a10|-855.5829431|337.75|0.0|1.0|-0.26999|-3.85|34.0|8.639636218|-593.6228632|-0.072537853|-1450.201574|-0.002218445|1.0|-0.06400528|1.0|7.3e-06|-0.04724|0.012271987|7.0
1o_a5|-587.4579645|297.38|0.0|1.0|0.4988899999999999|-4.08|25.0|7.522366517000001|-315.657463|-0.072886362|-1043.472984|-0.002633927|1.0|-0.033273504|1.0|2.54e-06|-0.07037|0.0051989459999999|7.4559
15_a15|-1210.227347|480.19|0.0|1.0|0.67524|-6.32|34.0|6.673906339|-804.0860746000001|-0.091075463|-1450.462493|-0.006378587|1.0|-0.063032481|0.0|5.7e-07|-0.03786|0.003766915|6.9626
9_a10|-1196.145223|332.32|0.0|1.0|0.2242|-4.23|33.0|8.765421221|-848.1268877|-0.084348428|-1409.764013|-0.004530817|1.0|-0.048732912|1.0|5.14e-06|-0.06118|0.007847998|6.7144
A7701_a51|-505.3525041||0.0|1.0||-3.95|22.0|5.137516673|-233.4713371|-0.078131694||-0.002377784|1.0|0.070581466|1.0|7.5e-06||0.00740235|7.6021
5b_a49|-764.3358925|316.21|0.0|1.0|0.39241|-3.3|30.0|6.270195553|-449.2535747|-0.076494119|-1291.929428|-0.007610481|1.0|-0.072128552|1.0|2.3e-05|-0.04453|0.006696215|7.5528
18_a10|-868.8874593|326.47|0.0|1.0|0.37729|-4.48|31.0|7.204851347999999|-551.4954071000001|-0.076052353|-1336.185978|-0.00309846|1.0|-0.092424959|1.0|5.44e-06|-0.0495699999999999|0.010573165|6.8861
