molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
12u_a36|1|0|319.16|0|0.0176|7.412764017000001|-0.20409|5.351858133|2|1|0.860667615|0|0.3765068079999999|0.157772171|62.80959338|0.486156325|2831.106839|-16.72220679|1818.813889|1.0|1.0|3.85|6.0|-6.19|423.51|4.21|-1350.8981130000002|7.7959
12ah_a36|1|0|237.25|0|0.0485|7.412764017000001|-0.2107099999999999|5.351858133|2|1|0.8065052890000001|0|0.271553945|0.171594725|60.9481085|0.468162246|2786.56479|-15.92320089|1602.457659|1.0|0.0|3.35|5.0|-6.49|415.88|3.79|-1692.545871|7.9586
6_a1|0|0|305.12|1|0.3399|7.535296702|-0.1899799999999999|5.4161004020000005|1|1|0.741035199|0|0.212044989|0.121740384|37.79009463|0.4218263379999999|1956.144556|-5.56196523|778.3512535|1.0|1.0|3.61|3.0|-6.21|291.35|2.81|-935.5024827|5.2924
8f_a8|1|0|263.65|1|0.1659|7.05012252|-0.21285|4.844187086|0|1|0.56916135|0|0.308621017|0.403186031|79.13157981|0.456995667|2622.044457|-16.44956443|1370.325626|0.0|0.0|4.69|4.0|-5.98|391.37|7.71|-1361.658484|4.6428
5_a4|0|0|255.2|1|67.0|7.535296702|-0.21857|5.4161004020000005|2|1|0.650346601|1|0.431132276|0.056851498|31.58455727|0.413773331|2282.291204|-7.276482574|771.5556899000001|1.0|1.0|4.89|3.0|-5.57|340.42|3.71|-1069.27374|7.1487
12az_a36|1|0|319.03|0|0.0146|7.412764017000001|-0.19846|5.351858133|2|1|0.8350231859999999|0|0.411597359|0.180836387|74.65245915|0.462897841|3039.528467|-16.43719536|2330.167624|1.0|1.0|2.83|7.0|-7.13|441.49|2.68|-1461.990465|7.2366
3_a27|0|0|225.24|2|0.2208|6.605297921|-0.21969|4.59511985|2|1|0.610158103|1|0.397733752|0.137884078|41.78149261|0.44566003|2294.213272|-8.663302268999999|911.8963045|1.0|1.0|2.8|3.0|-6.41|329.36|4.92|-1081.905135|8.3979
12e_a31|1|0|232.77|0|0.2627|7.765993078999999|-0.19379|5.733341277|0|2|0.76012894|0|0.2642991189999999|0.2784732339999999|87.71292755|0.474858042|3040.353774|-19.38348182|2095.222806|1.0|1.0|6.69|9.0|-5.93|460.55|6.33|-1809.899887|6.7696
12f_a36|1|0|237.95|0|0.0231|7.412764017000001|-0.20046|5.351858133|2|1|0.857993338|0|0.3416917479999999|0.156443092|58.64442871|0.464240353|2770.818472|-15.59012402|1695.785708|1.0|0.0|3.62|6.0|-6.33|409.49|3.87|-1311.57896|7.9586
6b_a40|0|0|399.62|1|0.4962|8.421342866|-0.21904|6.401917197|0|2|0.6462648870000001|1|0.417254814|0.246568426|81.90640622|0.442509019|3214.047452|-22.2507658|1626.736212|1.0|1.0|5.67|5.0|-5.85|511.42|8.98|-3290.775349|7.5229
