molecula|molecula|Contribution (HOMO-LUMO transition)|NaasN|hydrogen_bond_acceptors_count (using_Lipinski’s_definition)|nAHRing|Log Kp (cm/s)|FNSA5|Zero Point Energy|PNSA3|Consensus Log P|pIC50|RNCS|TPSA_x|FNSA4|CYP3A4 inhibitor|Synthetic Accessibility|FNSA1|Log Po/w WLOGP|pIC50
3a_a32|3a_a32|0.70229|0|3.0|0|-5.77|-0.0970820759999999|-1554.7020630000002|-37.30101542|3.32|8.5686|87.55216606|84.65041685|-0.032360692|1.0|2.96|0.6723099029999999|4.12|8.5686
11b_a5|11b_a5|0.6284|0|4.0|0|-6.03|-0.080664777|-1564.56504|-45.82509318|3.68|7.7212|55.25128526|75.80248447|-0.029332646|1.0|2.99|0.66824472|4.82|7.7212
33_a20|33_a20|0.6129|1|4.0|0|-5.58|-0.069838312|-1275.602977|-38.58254635|4.28|7.4685|8.680600701|33.13709773|-0.0265385579999999|1.0|3.39|0.759356182|5.39|7.4685
12y_a30|12y_a30|0.6864399999999999|0|4.0|2|-5.64|-0.091248521|-1654.125015|-47.598277|3.19|7.6576|85.17057711|101.4221952|-0.034840345|0.0|4.86|0.820108145|3.23|7.6576
10_a3|10_a3|0.68995|0|4.0|0|-6.44|-0.0989320009999999|-1288.050987|-46.64544572|2.52|5.1|248.0820067|116.9745968|-0.0359752729999999|1.0|3.02|0.7066293240000001|3.41|5.1
8_a10|8_a10|0.68815|1|5.0|1|-6.25|-0.086233061|-1257.59269|-32.63117642|3.55|6.279|32.98071169999999|68.45976606|-0.029917593|1.0|3.42|0.722649449|4.2|6.279
14a_a22|14a_a22|0.63156|1|5.0|0|-6.61|-0.081479363|-1368.075682|-42.39063895|3.19|7.4202|93.21042936|92.61079081|-0.031338217|1.0|3.42|0.7007904070000001|4.31|7.4202
35_a18|35_a18|0.69279|0|3.0|2|-6.0|-0.084219749|-1532.557542|-60.302584200000005|3.07|7.6198|118.7214377|146.8343246|-0.033440195|1.0|4.3|0.874573807|3.35|7.6198
7h_a8|7h_a8|0.6963199999999999|1|4.0|0|-5.27|-0.0934764819999999|-1285.017252|-53.71230941|4.63|4.9788|70.28953528|131.9948047|-0.041038456|0.0|3.12|0.892830345|5.49|4.9788
17e_a50|17e_a50|0.66478|2|4.0|2|-6.08|-0.073011385|-1374.927998|-32.24487658|4.03|6.8097|10.68364489|48.62532158|-0.02665495|1.0|4.18|0.803671114|4.68|6.8097
12a_a30|12a_a30|0.68599|0|4.0|2|-5.98|-0.097138462|-1575.538241|-47.73588073|2.63|7.9469|85.47365107|101.5505506|-0.037665934|0.0|4.65|0.805190202|2.62|7.9469
9_a3|9_a3|0.6724600000000001|0|2.0|0|-5.21|-0.083555008|-1255.9558029999998|-44.74600478|3.7|4.96|223.4501605|72.17854599|-0.038196575|1.0|3.1|0.886859678|4.62|4.96
23_a10|23_a10|0.67647|1|5.0|1|-5.93|-0.072395864|-1469.838069|-35.17017083|4.5|6.1249|72.17779806|60.05816353|-0.02685653|1.0|3.8|0.7611996520000001|5.81|6.1249
11_a4|11_a4|0.65942|1|3.0|1|-5.74|-0.06530408|-1467.20045|-31.35942689|4.16|6.9586|12.88007087|40.38918044|-0.023620625|1.0|3.31|0.7560913159999999|5.22|6.9586
47a_a18|47a_a18|0.69508|0|5.0|1|-6.49|-0.099310031|2098.280307|-67.93456546|2.02|9.0|100.7293848|181.3725215|-0.036234741|1.0|4.97|0.7936193709999999|3.35|9.0
4f_a49|4f_a49|0.68474|1|5.0|1|-6.6|-0.089955514|-1179.029099|-55.88123394|2.85|7.3979|193.615884|142.7551002|-0.033471819|0.0|3.07|0.718306291|3.8|7.3979
3m_a32|3m_a32|0.7026600000000001|0|4.0|0|-6.17|-0.09390309|-1863.279862|-50.60363458|4.12|7.6383|92.61088121|120.7751424|-0.027127559|1.0|3.51|0.674468222|5.35|7.6383
2_a1|2_a1|0.7007899999999999|1|3.0|1|-6.04|-0.077270452|-920.078239|-28.32386891|3.21|5.2366|6.281701359|87.29479691|-0.026492726|1.0|2.91|0.6944040029999999|4.12|5.2366
7_a3|7_a3|0.69224|0|3.0|0|-5.68|-0.096448591|-1731.602893|-51.18177092|3.63|5.9901|230.9407974|107.7330046|-0.036877402|1.0|3.02|0.7992146109999999|4.66|5.9901
8m_a46|8m_a46|0.6997800000000001|1|3.0|1|-5.61|-0.085204935|-1013.91158|-48.32436573|3.53|6.6402|166.8508795|65.63194084|-0.032188531|1.0|3.24|0.8854896870000001|4.21|6.6402
28_a34|28_a34|0.69263|1|5.0|1|-7.04|-0.140864841|-1100.6525880000002|-66.89539627|1.84|5.4179|144.3404619|232.4555747|-0.048190604|1.0|3.02|0.7298701059999999|2.07|5.4179
13_a10|13_a10|0.68386|1|4.0|1|-6.34|-0.082327045|-1065.68351|-47.88975806|2.91|6.7959|174.7319717|91.99711608|-0.030119651|1.0|3.02|0.7144943490000001|3.81|6.7959
4i_a46|4i_a46|0.69035|1|3.0|1|-5.31|-0.075208437|-1092.473422|-33.08099617|4.16|6.2132|67.51603424|33.45060163|-0.025069479|1.0|3.88|0.763831778|5.07|6.2132
14aa_a23|14aa_a23|0.6805899999999999|2|4.0|0|-5.92|-0.076107469|-1708.276011|-35.51947393|4.1|8.451|40.49537336|51.68445972|-0.03159178|1.0|3.63|0.796659447|4.63|8.451
36_a18|36_a18|0.69372|0|3.0|2|-6.18|-0.079805761|-1493.266344|-55.38202488|2.8|7.4949|110.8288932|139.3536816|-0.031922305|1.0|4.19|0.812056067|2.96|7.4949
1c_a5|1c_a5|0.53838|0|3.0|0|-5.77|-0.070346332|-990.467026|-34.82350689|3.43|5.4|160.5407184|58.16640976|-0.0281385329999999|1.0|2.78|0.753027268|4.51|5.4
