|0|1|2
0|Thing|Thing|1.00
1|Thing|Algorithm|1.00
2|Thing|in_silico|0.50
3|Thing|QSAR_descriptor|0.33
4|Thing|Inhibitor|1.00
5|Thing|Pharmacophoric_Group|1.00
6|Thing|Chemical_Descriptor|1.00
7|Thing|Pharmacokinetics|1.00
8|Thing|Assay_method|1.00
9|Thing|Biological_Activity|1.00
10|Thing|Diagnosis|1.00
11|Thing|Biological_Target|1.00
12|Thing|Quantum_Chemistry_Computational_Method|1.00
13|Thing|Functional_Group_Descriptor|1.00
14|Thing|Publication|1.00
15|Thing|Validation|1.00
16|Thing|Absorption|0.50
17|Thing|AlogP_descriptor|0.50
18|Thing|BBB|0.50
19|Thing|Charges|0.50
20|Thing|Contribution|0.50
21|Thing|Dipole|0.50
22|Thing|Drug|0.50
23|Thing|EC50|0.50
24|Thing|Esolv.Water|0.50
25|Thing|Excretion|0.50
26|Thing|Finger_Prints|0.50
27|Thing|FreeE|0.50
28|Thing|hydrogen_bond_acceptors_count|0.50
29|Thing|hydrogen_bond_donors_count|0.50
30|Thing|Highest_Occupied_Molecular_Orbital_Energy|0.50
31|Thing|IC50|0.50
32|Thing|Lowest_Unoccupied_Molecular_Orbital_Energy|0.50
33|Thing|Metabolism|0.50
34|Thing|Molecular_mass|0.50
35|Thing|Osc.Force|0.50
36|Thing|Tissue_Distribution|0.50
37|Thing|Toxicity|0.50
38|Thing|Transition|0.50
39|Thing|ZeroE|0.50
40|Thing|ab_initio_quantum_chemistry_computational_method|0.50
41|Thing|acidic_group_count|0.50
42|Thing|alcohol|0.50
43|Thing|aldehyde|0.50
44|Thing|amide|0.50
45|Thing|amine|0.50
46|Thing|aromatic_atom_count|0.50
47|Thing|atom_count|0.50
48|Thing|atomic_QSAR_descriptor|0.50
49|Thing|basic_group_count|0.50
50|Thing|benzene|0.50
51|Thing|bioassay|0.50
52|Thing|bond_count|0.50
53|Thing|carboxylic_acid|0.50
54|Thing|cross-validation_information|0.50
55|Thing|cycle_count|0.50
56|Thing|cycle_count_containing_heteroatoms|0.33
57|Thing|ester|0.50
58|Thing|ether|0.50
59|Thing|external_validation|0.50
60|Thing|Genetic_Algorithm|0.50
61|Thing|hartree-fock_method|0.50
62|Thing|heavy_atom_count|0.50
63|Thing|hydrocarbon|0.50
64|Thing|in_vitro|0.50
65|Thing|in_vivo|0.50
66|Thing|internal_validation|0.50
67|Thing|ketone|0.50
68|Thing|linear_QSAR|0.25
69|Thing|lipinski|0.50
70|Thing|molar_refractivity|0.50
71|Thing|Monte_Carlo|0.50
72|Thing|non-linear_dimensional_QSAR|0.25
73|Thing|pIC50|0.50
74|Thing|pKi|0.50
75|Thing|partition_coefficient|0.50
76|Thing|phenols|0.50
77|Thing|pi-electron_computational_method|0.50
78|Thing|plane_polarized_light_method|0.50
79|Thing|polar_surface_area_descriptor|0.50
80|Thing|regression_statistics|0.50
81|Thing|rotatable_bond_count|0.33
82|Thing|semi-empirical_quantum_chemistry_method|0.50
83|Thing|split_validation|0.50
84|Thing|Machine_learning_algorithm|0.50
85|Thing|Supervised_Learning|0.33
86|Thing|three_dimensional_QSAR|0.25
87|Thing|Trial_and_Error|0.50
88|Thing|tumor_size|0.50
89|Thing|two_dimensional_QSAR|0.25
90|Thing|valence_electron_computational_method|0.50
91|Thing|y_scrambling|0.50
92|Thing|zagreb_index|0.50
93|Thing|Abs.máx(eV)|0.50
94|Thing|Abs.máx(nM)|0.50
95|Thing|hydrogen_bond_acceptors_count(using_Lipinski’s_definition)|0.33
96|Thing|hydrogen_bond_donnors_count(using_Lipinski’s_definition)|0.33
97|Thing|Atom-type_H_E-State|0.50
98|Thing|Minimum_E-States_for_(strong)_Hydrogen_Bond_acceptors|0.33
99|Thing|Minimum_E-States_for_(strong)_Hydrogen_Bond_donors|0.33
100|Thing|Moreau-Broto_autocorrelation(first_ionization_potential)_descriptors|0.50
101|Thing|Moreau-Broto_autocorrelation(mass)_descriptors|0.50
102|Thing|Moreau-Broto_autocorrelation(polarizability)_descriptors|0.50
103|Thing|Moreau-Broto_autocorrelation(van_der_Waals_volumes)_descriptors|0.50
104|Thing|Sum_of_atom-type_H_E-State(NH)|0.33
105|Thing|Sum_of_atom-type_H_E-State(NH2)|0.33
106|Thing|Sum_of_atom-type_H_E-State(OH)|0.33
107|Thing|Sum_of_atom-type_H_E-State(SH2)|0.33
108|Thing|Semi_Supervised_Learning|0.33
109|Thing|Unsupervised_Learning|0.33
110|Thing|root|1.00
111|Algorithm|Thing|1.00
112|Algorithm|Algorithm|1.00
113|Algorithm|in_silico|0.33
114|Algorithm|QSAR_descriptor|0.25
115|Algorithm|Inhibitor|0.50
116|Algorithm|Pharmacophoric_Group|0.50
117|Algorithm|Chemical_Descriptor|0.50
118|Algorithm|Pharmacokinetics|0.50
119|Algorithm|Assay_method|0.50
120|Algorithm|Biological_Activity|0.50
121|Algorithm|Diagnosis|0.50
122|Algorithm|Biological_Target|0.50
123|Algorithm|Quantum_Chemistry_Computational_Method|0.50
124|Algorithm|Functional_Group_Descriptor|0.50
125|Algorithm|Publication|0.50
126|Algorithm|Validation|0.50
127|Algorithm|Absorption|0.33
128|Algorithm|AlogP_descriptor|0.33
129|Algorithm|BBB|0.33
130|Algorithm|Charges|0.33
131|Algorithm|Contribution|0.33
132|Algorithm|Dipole|0.33
133|Algorithm|Drug|0.33
134|Algorithm|EC50|0.33
135|Algorithm|Esolv.Water|0.33
136|Algorithm|Excretion|0.33
137|Algorithm|Finger_Prints|0.33
138|Algorithm|FreeE|0.33
139|Algorithm|hydrogen_bond_acceptors_count|0.33
140|Algorithm|hydrogen_bond_donors_count|0.33
141|Algorithm|Highest_Occupied_Molecular_Orbital_Energy|0.33
142|Algorithm|IC50|0.33
143|Algorithm|Lowest_Unoccupied_Molecular_Orbital_Energy|0.33
144|Algorithm|Metabolism|0.33
145|Algorithm|Molecular_mass|0.33
146|Algorithm|Osc.Force|0.33
147|Algorithm|Tissue_Distribution|0.33
148|Algorithm|Toxicity|0.33
149|Algorithm|Transition|0.33
150|Algorithm|ZeroE|0.33
151|Algorithm|ab_initio_quantum_chemistry_computational_method|0.33
152|Algorithm|acidic_group_count|0.33
153|Algorithm|alcohol|0.33
154|Algorithm|aldehyde|0.33
155|Algorithm|amide|0.33
156|Algorithm|amine|0.33
157|Algorithm|aromatic_atom_count|0.33
158|Algorithm|atom_count|0.33
159|Algorithm|atomic_QSAR_descriptor|0.33
160|Algorithm|basic_group_count|0.33
161|Algorithm|benzene|0.33
162|Algorithm|bioassay|0.33
163|Algorithm|bond_count|0.33
164|Algorithm|carboxylic_acid|0.33
165|Algorithm|cross-validation_information|0.33
166|Algorithm|cycle_count|0.33
167|Algorithm|cycle_count_containing_heteroatoms|0.25
168|Algorithm|ester|0.33
169|Algorithm|ether|0.33
170|Algorithm|external_validation|0.33
171|Algorithm|Genetic_Algorithm|1.00
172|Algorithm|hartree-fock_method|0.33
173|Algorithm|heavy_atom_count|0.33
174|Algorithm|hydrocarbon|0.33
175|Algorithm|in_vitro|0.33
176|Algorithm|in_vivo|0.33
177|Algorithm|internal_validation|0.33
178|Algorithm|ketone|0.33
179|Algorithm|linear_QSAR|0.20
180|Algorithm|lipinski|0.33
181|Algorithm|molar_refractivity|0.33
182|Algorithm|Monte_Carlo|1.00
183|Algorithm|non-linear_dimensional_QSAR|0.20
184|Algorithm|pIC50|0.33
185|Algorithm|pKi|0.33
186|Algorithm|partition_coefficient|0.33
187|Algorithm|phenols|0.33
188|Algorithm|pi-electron_computational_method|0.33
189|Algorithm|plane_polarized_light_method|0.33
190|Algorithm|polar_surface_area_descriptor|0.33
191|Algorithm|regression_statistics|0.33
192|Algorithm|rotatable_bond_count|0.25
193|Algorithm|semi-empirical_quantum_chemistry_method|0.33
194|Algorithm|split_validation|0.33
195|Algorithm|Machine_learning_algorithm|1.00
196|Algorithm|Supervised_Learning|0.50
197|Algorithm|three_dimensional_QSAR|0.20
198|Algorithm|Trial_and_Error|1.00
199|Algorithm|tumor_size|0.33
200|Algorithm|two_dimensional_QSAR|0.20
201|Algorithm|valence_electron_computational_method|0.33
202|Algorithm|y_scrambling|0.33
203|Algorithm|zagreb_index|0.33
204|Algorithm|Abs.máx(eV)|0.33
205|Algorithm|Abs.máx(nM)|0.33
206|Algorithm|hydrogen_bond_acceptors_count(using_Lipinski’s_definition)|0.25
207|Algorithm|hydrogen_bond_donnors_count(using_Lipinski’s_definition)|0.25
208|Algorithm|Atom-type_H_E-State|0.33
209|Algorithm|Minimum_E-States_for_(strong)_Hydrogen_Bond_acceptors|0.25
210|Algorithm|Minimum_E-States_for_(strong)_Hydrogen_Bond_donors|0.25
211|Algorithm|Moreau-Broto_autocorrelation(first_ionization_potential)_descriptors|0.33
212|Algorithm|Moreau-Broto_autocorrelation(mass)_descriptors|0.33
213|Algorithm|Moreau-Broto_autocorrelation(polarizability)_descriptors|0.33
214|Algorithm|Moreau-Broto_autocorrelation(van_der_Waals_volumes)_descriptors|0.33
215|Algorithm|Sum_of_atom-type_H_E-State(NH)|0.25
216|Algorithm|Sum_of_atom-type_H_E-State(NH2)|0.25
217|Algorithm|Sum_of_atom-type_H_E-State(OH)|0.25
218|Algorithm|Sum_of_atom-type_H_E-State(SH2)|0.25
219|Algorithm|Semi_Supervised_Learning|0.50
220|Algorithm|Unsupervised_Learning|0.50
221|Algorithm|root|0.50
222|in_silico|Thing|0.50
223|in_silico|Algorithm|0.33
224|in_silico|in_silico|1.00
225|in_silico|QSAR_descriptor|1.00
226|in_silico|Inhibitor|0.33
227|in_silico|Pharmacophoric_Group|0.33
228|in_silico|Chemical_Descriptor|0.33
229|in_silico|Pharmacokinetics|0.33
230|in_silico|Assay_method|1.00
231|in_silico|Biological_Activity|0.33
232|in_silico|Diagnosis|0.33
233|in_silico|Biological_Target|0.33
234|in_silico|Quantum_Chemistry_Computational_Method|0.33
235|in_silico|Functional_Group_Descriptor|0.33
236|in_silico|Publication|0.33
237|in_silico|Validation|0.33
238|in_silico|Absorption|0.25
239|in_silico|AlogP_descriptor|0.25
240|in_silico|BBB|0.25
241|in_silico|Charges|0.25
242|in_silico|Contribution|0.25
243|in_silico|Dipole|0.25
244|in_silico|Drug|0.25
245|in_silico|EC50|0.25
246|in_silico|Esolv.Water|0.25
247|in_silico|Excretion|0.25
248|in_silico|Finger_Prints|0.25
249|in_silico|FreeE|0.25
250|in_silico|hydrogen_bond_acceptors_count|0.25
251|in_silico|hydrogen_bond_donors_count|0.25
252|in_silico|Highest_Occupied_Molecular_Orbital_Energy|0.25
253|in_silico|IC50|0.25
254|in_silico|Lowest_Unoccupied_Molecular_Orbital_Energy|0.25
255|in_silico|Metabolism|0.25
256|in_silico|Molecular_mass|0.25
257|in_silico|Osc.Force|0.25
258|in_silico|Tissue_Distribution|0.25
259|in_silico|Toxicity|0.25
260|in_silico|Transition|0.25
261|in_silico|ZeroE|0.25
